id,name,shortname,unit_id,unit
1,Stream function,strf,1,
2,Velocity potential,vp,1,
3,Potential temperature,pt,2,
4,Equivalent potential temperature,eqpt,2,
5,Saturated equivalent potential temperature,sept,2,
6,Soil sand fraction,ssfr,3,
7,Soil clay fraction,scfr,3,
8,Surface runoff,sro,4,
9,Sub-surface runoff,ssro,4,
10,Wind speed,ws,5,
11,U component of divergent wind,udvw,5,
12,V component of divergent wind,vdvw,5,
13,U component of rotational wind,urtw,5,
14,V component of rotational wind,vrtw,5,
15,UV visible albedo for direct radiation (climatological),aluvp,3,
16,UV visible albedo for diffuse radiation (climatological),aluvd,3,
17,Near IR albedo for direct radiation (climatological),alnip,3,
18,Near IR albedo for diffuse radiation (climatological),alnid,3,
19,Clear sky surface UV,uvcs,6,
20,"Surface photosynthetically active radiation, clear sky",parcs,6,
21,Unbalanced component of temperature,uctp,2,
22,Unbalanced component of logarithm of surface pressure,ucln,7,
23,Unbalanced component of divergence,ucdv,8,
24,Reserved for future unbalanced components,~,7,
25,Reserved for future unbalanced components,~,7,
26,Lake cover,cl,3,
27,Low vegetation cover,cvl,3,
28,High vegetation cover,cvh,3,
29,Type of low vegetation,tvl,112,
30,Type of high vegetation,tvh,112,
31,Sea ice area fraction,ci,3,
32,Snow albedo,asn,3,
33,Snow density,rsn,9,
34,Sea surface temperature,sst,2,
35,Ice temperature layer 1,istl1,2,
36,Ice temperature layer 2,istl2,2,
37,Ice temperature layer 3,istl3,2,
38,Ice temperature layer 4,istl4,2,
39,Volumetric soil water layer 1,swvl1,10,
40,Volumetric soil water layer 2,swvl2,10,
41,Volumetric soil water layer 3,swvl3,10,
42,Volumetric soil water layer 4,swvl4,10,
43,Soil type,slt,231,
44,Snow evaporation,es,27,
45,Snowmelt,smlt,27,
46,Solar duration,sdur,12,
47,Surface direct normal short-wave (solar) radiation,dsrp,6,
48,Time-integrated magnitude of turbulent surface stress,magss,14,
49,Maximum 10 metre wind gust since previous post-processing,10fg,5,
50,Large-scale precipitation fraction,lspf,12,
51,Maximum temperature at 2 metres in the last 24 hours,mx2t24,2,
52,Minimum temperature at 2 metres in the last 24 hours,mn2t24,2,
53,Montgomery potential,mont,15,
54,Pressure,pres,16,
55,Mean temperature at 2 metres in the last 24 hours,mean2t24,2,
56,Mean 2 metre dewpoint temperature in the last 24 hours,mn2d24,2,
57,Surface downward UV radiation,uvb,6,
58,Photosynthetically active radiation at the surface,par,6,
59,Convective available potential energy,cape,17,
60,Potential vorticity,pv,18,
62,Observation count,obct,7,
63,Start time for skin temperature difference,stsktd,12,
64,Finish time for skin temperature difference,ftsktd,12,
65,Skin temperature difference,sktd,2,
66,"Leaf area index, low vegetation",lai_lv,19,
